tipo;categoria ;descricao;data_inicio;previsao_conclusao;valor_previsto;Valor alterado R$;valor_atualizado;situacao;percentual_execucao;;
 -; Ampliação; EXTENSÃO DE REDE E AMPLIAÇÃO DO SISTEMA DE ILUMINAÇÃO PÚBLICA 02/2019; 10/01/2019; -;R$ 302.513,65;R$ 0,00;R$ 302.513,65; -;100;;
 -; Outros; SERVIÇOS TÉCNICOS PARA PROJETOS E FISCALIZAÇÃO DE OBRAS DE ENGENHARIA CIVIL; 04/01/2019; -;R$ 133.800,00;R$ 0,00;R$ 133.800,00; -; 91.96;;
 -; Outros; SERVIÇOS TÉCNICOS PARA PROJETOS E FISCALIZAÇÃO DE OBRAS DE ENGENHARIA CIVIL; 04/01/2019; -;R$ 133.200,00;R$ 0,00;R$ 133.200,00; -; 91.83;;
 -; Outros; Execução de pavimentação asfáltica na Avenida Beira Mar 111/2018; 29/11/2018; -;R$ 404.064,82;R$ 0,00;R$ 404.064,82; -;100;;
 -; Outros; Avenida João Marcelino Pereira - (5ª Avenida) em Balneário Gaivota/SC 109/2018; 29/11/2018; -;R$ 2.289.644,37;R$ 0,00;R$ 2.289.644,37; -;100;;
 -; Outros; Execução de pavimentação na Avenida Barramares (Avenida A) 112/2018; 29/11/2018; -;R$ 1.578.241,85;R$ 0,00;R$ 1.578.241,85; -;100;;
 -; Outros; REFORMA E AMPLIAÇÃO DO CENTRO DE ENSINO INFANTIL (C.E.I) LIBÂNIA PEREIRA MARTINS, COM ÁREA TOTAL DE 98,46 M²; 27/11/2018; -;R$ 90.596,72;R$ 0,00;R$ 90.596,72; -;100;;
 -; Reforma; Obra de adaptação para acessibilidade e vigilância sanitária das instalações das unidades de saúde P.S.F ABEL DELAUDINO DOS SANTOS,  UNIDADE DE SAÚDE CENTRAL ZENITA MENDES DA SILVA PEDRO  e E.S.F CENTRAL; 01/09/2018; -;R$ 28.850,41;R$ 0,00;R$ 28.850,41; -; 62.89;;
 -; Reforma;" Reforma para acessibilidade e vigilância sanitária das instalações da ""UNIDADE DE SAÚDE RIO NOVO"" e ""UNIDADE DE SAÚDE ANITA GARIBALDI"""; 01/09/2018; -;R$ 32.961,37;R$ 0,00;R$ 32.961,37; -;3;;
 -; Reforma;" Reforma do bloco ""A"" administrativo da Prefeitura Municipal com o total de 668,98m²"; 01/09/2018; 31/12/2018;R$ 147.566,36;R$ 32.194,47;R$ 179.760,83; -; 82.54;;
 -; Outros; EXECUÇÃO DE MURO DE ALVENARIA NO CRAS (CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL); 25/06/2018; -; -; -; -; -; -;;
