Rubrica natureza;Descrição natureza receita;Categoria econômica;Origem da receita;Especie da receita;Tipo da receita;Rubrica receita;Alínea da receita;Subalínea da receita;Desdobramento nível 1;Desdobramento nível 2;Desdobramento nível 3;Finalidade da receita;Forma de ingresso;Órgão;Unidade;Organograma;Valor orçado R$;Orçado atualizado R$;Orçado deduções R$;Valor lançado mês;Valor arrecadado mês;Valor arrecadado acumulado até o mês;Orçado líquido atualizado R$;Realizado (%)
 13210101019913; Remun Dep Banc Vinculados- covid EPI; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun Dep Banc Vinculados- covid EPI; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 2,49; R$ 2,49; R$ 0,00; 0.0
 13210101019913; Remun Dep Banc Vinculados- covid EPI; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun Dep Banc Vinculados- covid EPI; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 2,48; R$ 4,97; R$ 0,00; 0.0
 13210101019913; Remun Dep Banc Vinculados- covid EPI; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun Dep Banc Vinculados- covid EPI; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 2,45; R$ 7,42; R$ 0,00; 0.0
 13210101019913; Remun Dep Banc Vinculados- covid EPI; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun Dep Banc Vinculados- covid EPI; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ -7,42; R$ 0,00; R$ 0,00; 0.0
 13210101019914; Remun Dep Banc Vinculados- Covid Acolhimento; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun Dep Banc Vinculados- Covid Acolhimento; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ -1,35; R$ 0,00; R$ 0,00; 0.0
 11220104010000; Taxas de Coleta de Lixo - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxas pela Prestação de Serviços em Geral - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; ; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; Não se aplica; Taxas de Coleta de Lixo - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa; Arrecadações; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; DIRETORIA DE OBRAS; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 10.399,81; R$ 10.399,81; R$ 0,00; 0.0
 11210101050000; TPP - Tx de Licença Ambiental; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxas de Inspeção; Taxas pelo Exercício do Poder de Polícia; Taxas de Inspeção, Controle e Fiscalização; ; Taxas pelo Exercício do Poder de Polícia; Taxas de Inspeção, Controle e Fiscalização; Não se aplica; TPP - Tx de Licença Ambiental; Arrecadações; SECRETARIA DE MEIO AMBIENTE E DESENV. ECONÔMICO; DIRETORIA DE MEIO AMBIENTE; SECRETARIA DE MEIO AMBIENTE E DESENV. ECONÔMICO; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 1.482,00; R$ 1.482,00; R$ 0,00; 0.0
 11220101020000; Taxa de Coleta de lixo; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxas pela Prestação de Serviços em Geral - Principal; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; ; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; Não se aplica; Taxa de Coleta de lixo; Arrecadações; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; DIRETORIA DE OBRAS; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 901.970,40; R$ 901.970,40; R$ 0,00; 0.0
 11220102010000; Taxa de Coleta de Lixo - Multas e Juros; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; ; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; Não se aplica; Taxa de Coleta de Lixo - Multas e Juros; Arrecadações; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; DIRETORIA DE OBRAS; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 168,97; R$ 168,97; R$ 0,00; 0.0
 11220103010000; Taxa de Coleta de Lixo - Dívida Ativa; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxas pela Prestação de Serviços em Geral - Dívida Ativa; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; ; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; Não se aplica; Taxa de Coleta de Lixo - Dívida Ativa; Arrecadações; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; DIRETORIA DE OBRAS; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 30.482,14; R$ 30.482,14; R$ 0,00; 0.0
