Rubrica natureza;Descrição natureza receita;Categoria econômica;Origem da receita;Especie da receita;Tipo da receita;Rubrica receita;Alínea da receita;Subalínea da receita;Desdobramento nível 1;Desdobramento nível 2;Desdobramento nível 3;Finalidade da receita;Forma de ingresso;Órgão;Unidade;Organograma;Valor orçado R$;Orçado atualizado R$;Orçado deduções R$;Valor lançado mês;Valor arrecadado mês;Valor arrecadado acumulado até o mês;Orçado líquido atualizado R$;Realizado (%)
 24229901000000; Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal; Receitas de Capital; Transferências de Capital; Transferências dos Estados e do Distrito Federal e de suas Entidades; Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal; Transferências de Convênios dos Estados e DF e de Suas Entidades ; Outras Transferências de Convênios dos Estados e DF e de Suas Entidades; ; Transferências de Convênios dos Estados e DF e de Suas Entidades ; Outras Transferências de Convênios dos Estados e DF e de Suas Entidades; Não se aplica; Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 18.960.412,50; R$ 18.960.412,50; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 18.960.412,50; 0.0
 17145101000000; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE - Principal; Receitas Correntes; Transferências Correntes; Transferências da União e de suas Entidades; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE - Principal; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação – FNDE? ; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE; ; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação – FNDE? ; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE; Não se aplica; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE - Principal; Arrecadações; SECRETARIA DE EDUCAÇÃO; DIRETORIA DE ENSINO; SECRETARIA DE EDUCAÇÃO; R$ 1.680,00; R$ 1.680,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 1.680,00; 0.0
 17295201000000; Transferências de Recursos Destinados a Programas de Educação - Principal; Receitas Correntes; Transferências Correntes; Transferências dos Estados e do Distrito Federal e de suas Entidades; Transferências de Recursos Destinados a Programas de Educação - Principal; Outras Transferências dos Estados e Distrito Federal; Transferências de Recursos Destinados a Programas de Educação; ; Outras Transferências dos Estados e Distrito Federal; Transferências de Recursos Destinados a Programas de Educação; Não se aplica; Transferências de Recursos Destinados a Programas de Educação - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 317.560,00; R$ 317.560,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 317.560,00; 0.0
 17165001000000; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal; Receitas Correntes; Transferências Correntes; Transferências da União e de suas Entidades; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS; ; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS; Não se aplica; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal; Arrecadações; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; R$ 197.666,00; R$ 197.666,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 197.666,00; 0.0
 24145201000000; Transferências de Convênios da União destinadas a Programas de Saneamento Básico - Principal; Receitas de Capital; Transferências de Capital; Transferências da União e de suas Entidades; Transferências de Convênios da União destinadas a Programas de Saneamento Básico - Principal; Transferências de Convênios da União e de suas Entidades ; Transferências de Convênios da União destinadas a Programas de Saneamento Básico; ; Transferências de Convênios da União e de suas Entidades ; Transferências de Convênios da União destinadas a Programas de Saneamento Básico; Não se aplica; Transferências de Convênios da União destinadas a Programas de Saneamento Básico - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 321.330,00; R$ 321.330,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 321.330,00; 0.0
 17299901030100; Outras Transf. do Estado E. Imp.- Genérica; Receitas Correntes; Transferências Correntes; Transferências dos Estados e do Distrito Federal e de suas Entidades; Outras Transferências dos Estados e DF - Principal; Outras Transferências dos Estados e Distrito Federal; Outras Transferências dos Estados e DF; ; Outras Transferências dos Estados e Distrito Federal; Outras Transferências dos Estados e DF; Não se aplica; Outras Transf. do Estado E. Imp.- Genérica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 1.620.000,00; R$ 1.620.000,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 1.620.000,00; 0.0
 17149901010000; Outras Transf. Direta do FNDE - Brasil Carinhoso; Receitas Correntes; Transferências Correntes; Transferências da União e de suas Entidades; Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação - FNDE - Principal; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação – FNDE? ; Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação - FNDE; ; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação – FNDE? ; Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação - FNDE; Não se aplica; Outras Transf. Direta do FNDE - Brasil Carinhoso; Arrecadações; SECRETARIA DE EDUCAÇÃO; DIRETORIA DE ENSINO; SECRETARIA DE EDUCAÇÃO; R$ 1.439,00; R$ 1.439,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 1.439,00; 0.0
 24145101000000; Transferências de Convênios da União destinadas a Programas de Educação - Principal; Receitas de Capital; Transferências de Capital; Transferências da União e de suas Entidades; Transferências de Convênios da União destinadas a Programas de Educação - Principal; Transferências de Convênios da União e de suas Entidades ; Transferências de Convênios da União destinadas a Programas de Educação; ; Transferências de Convênios da União e de suas Entidades ; Transferências de Convênios da União destinadas a Programas de Educação; Não se aplica; Transferências de Convênios da União destinadas a Programas de Educação - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 733.000,00; R$ 733.000,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 733.000,00; 0.0
 24149901000000; Outras Transferências de Convênios da União e de Suas Entidades - Principal; Receitas de Capital; Transferências de Capital; Transferências da União e de suas Entidades; Outras Transferências de Convênios da União e de Suas Entidades - Principal; Transferências de Convênios da União e de suas Entidades ; Outras Transferências de Convênios da União e de Suas Entidades; ; Transferências de Convênios da União e de suas Entidades ; Outras Transferências de Convênios da União e de Suas Entidades; Não se aplica; Outras Transferências de Convênios da União e de Suas Entidades - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 4.182.607,50; R$ 4.182.607,50; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 4.182.607,50; 0.0
 12415001000000; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Receitas Correntes; Contribuições; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; ; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; Não se aplica; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 3.064.640,00; R$ 3.064.640,00; R$ 0,00; R$ 0,00; R$ 218.983,00; R$ 218.983,00; R$ 3.064.640,00; 7.15
