id_receita;Rubrica natureza;Descrição natureza receita;Categoria econômica;Origem da receita;Especie da receita;Tipo da receita;Rubrica receita;Alínea da receita;Subalínea da receita;Desdobramento nível 1;Desdobramento nível 2;Desdobramento nível 3;Finalidade da receita;Forma de ingresso;rel_orgao;Unidade;Organograma;Valor orçado R$;Orçado atualizado R$;Orçado deduções R$;Valor lançado mês;Valor arrecadado mês;Valor arrecadado acumulado até o mês;Orçado líquido atualizado R$;Realizado (%);ano
1;2,42E+13; Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal; Receitas de Capital; Transferências de Capital; Transferências dos Estados e do Distrito Federal e de suas Entidades; Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal; Transferências de Convênios dos Estados e DF e de Suas Entidades ; Outras Transferências de Convênios dos Estados e DF e de Suas Entidades; ; Transferências de Convênios dos Estados e DF e de Suas Entidades ; Outras Transferências de Convênios dos Estados e DF e de Suas Entidades; Não se aplica; Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 18.960.412,50;R$ 18.960.412,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 18.960.412,50;0.0;2024
2;1,71E+13; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE - Principal; Receitas Correntes; Transferências Correntes; Transferências da União e de suas Entidades; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE - Principal; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação – FNDE? ; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE; ; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação – FNDE? ; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE; Não se aplica; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE - Principal; Arrecadações; SECRETARIA DE EDUCAÇÃO; DIRETORIA DE ENSINO; SECRETARIA DE EDUCAÇÃO;R$ 1.680,00;R$ 1.680,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.680,00;0.0;2024
3;1,73E+13; Transferências de Recursos Destinados a Programas de Educação - Principal; Receitas Correntes; Transferências Correntes; Transferências dos Estados e do Distrito Federal e de suas Entidades; Transferências de Recursos Destinados a Programas de Educação - Principal; Outras Transferências dos Estados e Distrito Federal; Transferências de Recursos Destinados a Programas de Educação; ; Outras Transferências dos Estados e Distrito Federal; Transferências de Recursos Destinados a Programas de Educação; Não se aplica; Transferências de Recursos Destinados a Programas de Educação - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 317.560,00;R$ 317.560,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 317.560,00;0.0;2024
4;1,72E+13; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal; Receitas Correntes; Transferências Correntes; Transferências da União e de suas Entidades; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS; ; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS; Não se aplica; Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal; Arrecadações; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO;R$ 197.666,00;R$ 197.666,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 197.666,00;0.0;2024
5;2,41E+13; Transferências de Convênios da União destinadas a Programas de Saneamento Básico - Principal; Receitas de Capital; Transferências de Capital; Transferências da União e de suas Entidades; Transferências de Convênios da União destinadas a Programas de Saneamento Básico - Principal; Transferências de Convênios da União e de suas Entidades ; Transferências de Convênios da União destinadas a Programas de Saneamento Básico; ; Transferências de Convênios da União e de suas Entidades ; Transferências de Convênios da União destinadas a Programas de Saneamento Básico; Não se aplica; Transferências de Convênios da União destinadas a Programas de Saneamento Básico - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 321.330,00;R$ 321.330,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 321.330,00;0.0;2024
6;1,73E+13; Outras Transf. do Estado E. Imp.- Genérica; Receitas Correntes; Transferências Correntes; Transferências dos Estados e do Distrito Federal e de suas Entidades; Outras Transferências dos Estados e DF - Principal; Outras Transferências dos Estados e Distrito Federal; Outras Transferências dos Estados e DF; ; Outras Transferências dos Estados e Distrito Federal; Outras Transferências dos Estados e DF; Não se aplica; Outras Transf. do Estado E. Imp.- Genérica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 1.620.000,00;R$ 1.620.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.620.000,00;0.0;2024
7;1,71E+13; Outras Transf. Direta do FNDE - Brasil Carinhoso; Receitas Correntes; Transferências Correntes; Transferências da União e de suas Entidades; Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação - FNDE - Principal; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação – FNDE? ; Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação - FNDE; ; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação – FNDE? ; Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação - FNDE; Não se aplica; Outras Transf. Direta do FNDE - Brasil Carinhoso; Arrecadações; SECRETARIA DE EDUCAÇÃO; DIRETORIA DE ENSINO; SECRETARIA DE EDUCAÇÃO;R$ 1.439,00;R$ 1.439,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.439,00;0.0;2024
8;2,41E+13; Transferências de Convênios da União destinadas a Programas de Educação - Principal; Receitas de Capital; Transferências de Capital; Transferências da União e de suas Entidades; Transferências de Convênios da União destinadas a Programas de Educação - Principal; Transferências de Convênios da União e de suas Entidades ; Transferências de Convênios da União destinadas a Programas de Educação; ; Transferências de Convênios da União e de suas Entidades ; Transferências de Convênios da União destinadas a Programas de Educação; Não se aplica; Transferências de Convênios da União destinadas a Programas de Educação - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 733.000,00;R$ 733.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 733.000,00;0.0;2024
9;2,41E+13; Outras Transferências de Convênios da União e de Suas Entidades - Principal; Receitas de Capital; Transferências de Capital; Transferências da União e de suas Entidades; Outras Transferências de Convênios da União e de Suas Entidades - Principal; Transferências de Convênios da União e de suas Entidades ; Outras Transferências de Convênios da União e de Suas Entidades; ; Transferências de Convênios da União e de suas Entidades ; Outras Transferências de Convênios da União e de Suas Entidades; Não se aplica; Outras Transferências de Convênios da União e de Suas Entidades - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 4.182.607,50;R$ 4.182.607,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4.182.607,50;0.0;2024
10;1,24E+13; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Receitas Correntes; Contribuições; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; ; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; Não se aplica; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 3.064.640,00;R$ 3.064.640,00;R$ 0,00;R$ 0,00;R$ 218.983,00;R$ 218.983,00;R$ 3.064.640,00;7.15;2024
11;1,11E+13; IRRF - Pessoa Jurídica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; IRRF - Pessoa Jurídica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 525,56;R$ 525,56;R$ 0,00;0.0;2024
12;1,24E+13; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Receitas Correntes; Contribuições; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; ; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; Não se aplica; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 242.234,85;R$ 461.217,85;R$ 0,00;0.0;2024
13;1,11E+13; IRRF - Pessoa Jurídica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; IRRF - Pessoa Jurídica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 581,36;R$ 1.106,92;R$ 0,00;0.0;2024
14;1,24E+13; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Receitas Correntes; Contribuições; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; ; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; Não se aplica; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 239.074,06;R$ 700.291,91;R$ 0,00;0.0;2024
15;1,11E+13; IRRF - Pessoa Jurídica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; IRRF - Pessoa Jurídica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 573,78;R$ 1.680,70;R$ 0,00;0.0;2024
16;1,11E+13; IRRF - Pessoa Jurídica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; IRRF - Pessoa Jurídica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 632,98;R$ 2.313,68;R$ 0,00;0.0;2024
17;1,24E+13; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Receitas Correntes; Contribuições; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; ; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; Não se aplica; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 263.740,21;R$ 964.032,12;R$ 0,00;0.0;2024
18;1,11E+13; IRRF - Pessoa Jurídica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; IRRF - Pessoa Jurídica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 556,23;R$ 2.869,91;R$ 0,00;0.0;2024
19;1,24E+13; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Receitas Correntes; Contribuições; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; ; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; Não se aplica; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 231.764,61;R$ 1.195.796,73;R$ 0,00;0.0;2024
20;1,24E+13; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Receitas Correntes; Contribuições; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; ; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; Não se aplica; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 228.705,74;R$ 1.424.502,47;R$ 0,00;0.0;2024
21;1,11E+13; IRRF - Pessoa Jurídica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; IRRF - Pessoa Jurídica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 548,89;R$ 3.418,80;R$ 0,00;0.0;2024
22;1,24E+13; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Receitas Correntes; Contribuições; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; ; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; Não se aplica; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 218.458,62;R$ 1.642.961,09;R$ 0,00;0.0;2024
23;1,11E+13; IRRF - Pessoa Jurídica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; IRRF - Pessoa Jurídica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 550,50;R$ 3.969,30;R$ 0,00;0.0;2024
24;1,24E+13; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Receitas Correntes; Contribuições; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; ; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; Não se aplica; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 222.604,45;R$ 1.865.565,54;R$ 0,00;0.0;2024
25;1,11E+13; IRRF - Pessoa Jurídica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; IRRF - Pessoa Jurídica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 32.227,15;R$ 36.196,45;R$ 0,00;0.0;2024
26;1,11E+13; IRRF - Pessoa Jurídica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; IRRF - Pessoa Jurídica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 548,34;R$ 36.744,79;R$ 0,00;0.0;2024
27;1,24E+13; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Receitas Correntes; Contribuições; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; ; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; Não se aplica; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 228.472,97;R$ 2.094.038,51;R$ 0,00;0.0;2024
28;1,11E+13; IRRF - Pessoa Jurídica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; IRRF - Pessoa Jurídica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 8,22;R$ 36.753,01;R$ 0,00;0.0;2024
29;1,24E+13; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Receitas Correntes; Contribuições; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; ; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; Não se aplica; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 208.126,28;R$ 2.302.164,79;R$ 0,00;0.0;2024
30;1,24E+13; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Receitas Correntes; Contribuições; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; ; Contribuição para o Custeio do Serviço de Iluminação Pública; Contribuição para o Custeio do Serviço de Iluminação Pública; Não se aplica; Contribuição para o Custeio do Serviço de Iluminação Pública - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 214.648,20;R$ 2.516.812,99;R$ 0,00;0.0;2024
31;1,11E+13; IRRF - Pessoa Jurídica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; IRRF - Pessoa Jurídica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 24.189,68;R$ 60.942,69;R$ 0,00;0.0;2024
32;1,11E+13; IRRF - Pessoa Jurídica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; Impostos sobre a Renda e Proventos de Qualquer Natureza; Imposto sobre a Renda - Retido na Fonte; Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos; IRRF - Pessoa Jurídica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 244.722,09;R$ 305.664,78;R$ 0,00;0.0;2024
