rel_entidade;nome_do_programa;funcao;descricao_programa;c�digo_da_despesa;valor_or�ado_despesa;valor_atualizado_despesa;empenhado_atualizado_da_despesa;liquido_atualizado_da_despesa;valor_pago_atualizado_despesa
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Gaivota Turismo; Comércio e Serviços; Construção de Pórtico de Entrada do município;141;R$ 500,00;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Gaivota Turismo; Comércio e Serviços; Promoção e Manutenção de Atividades Turísticas;142;R$ 210.000,00;R$ 165.000,00;R$ 159.443,58;R$ 159.443,58;R$ 159.443,58
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Gaivota Turismo; Comércio e Serviços; Promoção e Manutenção de Atividades Turísticas;143;R$ 300.000,00;R$ 393.000,00;R$ 378.066,26;R$ 298.486,26;R$ 290.972,74
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Gaivota Turismo; Comércio e Serviços; Promoção e Manutenção de Atividades Turísticas;144;R$ 500,00;R$ 24.500,00;R$ 24.000,00;R$ 24.000,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; Construção de Centro  Cultural;145;R$ 500.000,00;R$ 500.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; Construção de Centro  Cultural;146;R$ 500,00;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; Manutenção das Atividades Culturais;147;R$ 2.000,00;R$ 2.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; Manutenção das Atividades Culturais;148;R$ 20.000,00;R$ 20.000,00;R$ 13.480,77;R$ 13.480,77;R$ 9.265,03
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; Manutenção das Atividades Culturais;149;R$ 1.000,00;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; Eventos Culturais;150;R$ 10.000,00;R$ 10.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Superior; Administração; Manutenção do Gabinete do Prefeito;1;R$ 555.000,00;R$ 555.000,00;R$ 553.714,88;R$ 553.714,88;R$ 552.126,81
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Superior; Administração; Manutenção do Gabinete do Prefeito;2;R$ 46.000,00;R$ 46.000,00;R$ 36.853,80;R$ 36.853,80;R$ 33.961,75
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Superior; Administração; Manutenção do Gabinete do Prefeito;3;R$ 2.000,00;R$ 2.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Atenção a Criança e ao Adolescente; Assistência Social; Manutenção do Conselho Tutelar;4;R$ 100.000,00;R$ 100.000,00;R$ 98.379,68;R$ 98.379,68;R$ 95.995,01
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Atenção a Criança e ao Adolescente; Assistência Social; Manutenção do Conselho Tutelar;5;R$ 25.000,00;R$ 25.000,00;R$ 19.102,09;R$ 19.102,09;R$ 18.887,70
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Atenção a Criança e ao Adolescente; Assistência Social; Manutenção do Conselho Tutelar;6;R$ 2.000,00;R$ 2.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Geral; Administração; Manutenção da Secretaria de Administração e Finanças;7;R$ 1.650.000,00;R$ 1.550.000,00;R$ 1.101.324,11;R$ 1.101.324,11;R$ 1.075.993,05
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Geral; Administração; Manutenção da Secretaria de Administração e Finanças;8;R$ 75.000,00;R$ 83.000,00;R$ 73.181,84;R$ 73.181,84;R$ 73.181,84
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Geral; Administração; Manutenção da Secretaria de Administração e Finanças;9;R$ 1.600.000,00;R$ 1.642.000,00;R$ 1.605.875,22;R$ 1.576.747,82;R$ 1.517.141,78
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Geral; Administração; Manutenção da Secretaria de Administração e Finanças;10;R$ 10.000,00;R$ 60.000,00;R$ 24.077,50;R$ 24.077,50;R$ 23.297,50
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Segurança ao Alcance de Todos; Segurança Pública; Convênio Manutenção Rádio Patrulha;11;R$ 26.000,00;R$ 26.000,00;R$ 10.636,08;R$ 10.636,08;R$ 10.636,08
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Segurança ao Alcance de Todos; Segurança Pública; Manutenção Corpo de Bombeiros;12;R$ 50.000,00;R$ 50.000,00;R$ 38.213,42;R$ 38.213,42;R$ 38.033,42
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Segurança ao Alcance de Todos; Segurança Pública; Manutenção Corpo de Bombeiros;13;R$ 23.161,00;R$ 23.161,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Encargos Especiais; Encargos Especiais; Amortização da Dívida Interna;14;R$ 450.000,00;R$ 450.000,00;R$ 437.051,47;R$ 437.051,47;R$ 437.051,47
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Encargos Especiais; Encargos Especiais; Amortização da Dívida Interna;15;R$ 120.000,00;R$ 120.000,00;R$ 87.982,86;R$ 87.982,86;R$ 87.982,86
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Encargos Especiais; Encargos Especiais; Encargos Gerais da Prefeitura;16;R$ 5.000,00;R$ 5.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Encargos Especiais; Encargos Especiais; Encargos Gerais da Prefeitura;17;R$ 460.000,00;R$ 460.000,00;R$ 441.040,48;R$ 441.040,48;R$ 440.683,89
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Encargos Especiais; Encargos Especiais; Encargos Gerais da Prefeitura;18;R$ 1.000,00;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Financeira; Administração; Manutenção da Secretaria de Arrecadação Municipal;19;R$ 600.000,00;R$ 540.000,00;R$ 396.979,63;R$ 396.979,63;R$ 389.686,77
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Financeira; Administração; Manutenção da Secretaria de Arrecadação Municipal;20;R$ 60.000,00;R$ 120.000,00;R$ 83.007,44;R$ 82.271,84;R$ 76.674,35
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Financeira; Administração; Manutenção da Secretaria de Arrecadação Municipal;21;R$ 1.000,00;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Financeira; Administração; Manutenção da Secretaria de Arrecadação Municipal;22;R$ 3.000,00;R$ 3.000,00;R$ 2.846,70;R$ 2.846,70;R$ 2.846,70
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Planejamento Urbano e Rodoviário; Administração; Manutenção da Secretaria de Obras e Serviços Urbanos;23;R$ 180.000,00;R$ 180.000,00;R$ 177.834,21;R$ 177.834,21;R$ 177.834,21
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Planejamento Urbano e Rodoviário; Administração; Manutenção da Secretaria de Obras e Serviços Urbanos;24;R$ 45.000,00;R$ 45.000,00;R$ 30.943,25;R$ 30.943,25;R$ 28.349,44
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Planejamento Urbano e Rodoviário; Administração; Manutenção da Secretaria de Obras e Serviços Urbanos;25;R$ 2.000,00;R$ 2.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Saneamento é Saúde; Saneamento; Ampliação da Rede de Esgoto Pluvial;26;R$ 1.000,00;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Saneamento é Saúde; Saneamento; Ampliação da Rede de Esgoto Pluvial;27;R$ 100.000,00;R$ 100.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Saneamento é Saúde; Saneamento; Ampliação da Rede de Esgoto Pluvial;28;R$ 100,00;R$ 100,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Saneamento é Saúde; Saneamento; Implantação do Esgotamento Sanitário;29;R$ 500,00;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Saneamento é Saúde; Saneamento; Implantação do Esgotamento Sanitário;30;R$ 100,00;R$ 100,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Abertura e Pavimentação de Rodovia Municipais;31;R$ 500,00;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Abertura e Pavimentação de Rodovia Municipais;32;R$ 250.000,00;R$ 250.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Abertura e Pavimentação de Rodovia Municipais;33;R$ 400.000,00;R$ 400.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Abertura e Pavimentação de Rodovia Municipais;34;R$ 50.000,00;R$ 56.654,36;R$ 40.036,50;R$ 31.381,10;R$ 31.381,10
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Aquisição de Equipamentos Rodoviários;35;R$ 200.000,00;R$ 200.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Aquisição de Equipamentos Rodoviários;36;R$ 25.000,00;R$ 25.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Aquisição de Equipamentos Rodoviários;37;R$ 50.000,00;R$ 50.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Conservação de Estradas Municipais;38;R$ 1.050.000,00;R$ 840.000,00;R$ 719.727,27;R$ 719.727,27;R$ 704.427,01
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Conservação de Estradas Municipais;39;R$ 25.043,00;R$ 25.043,00;R$ 9.884,80;R$ 9.884,80;R$ 9.884,80
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Conservação de Estradas Municipais;40;R$ 177.853,00;R$ 177.853,00;R$ 123.810,12;R$ 123.810,12;R$ 123.810,12
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Conservação de Estradas Municipais;41;R$ 485,00;R$ 485,00;R$ 12,95;R$ 12,95;R$ 12,95
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Conservação de Estradas Municipais;42;R$ 800.000,00;R$ 1.010.000,00;R$ 889.053,60;R$ 889.053,60;R$ 867.374,02
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Conservação de Estradas Municipais;43;R$ 10.000,00;R$ 10.000,00;R$ 4.858,00;R$ 4.858,00;R$ 4.858,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Segurança Pública; Sinalização e Fiscalização de Trânsito;44;R$ 1.000,00;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Segurança Pública; Sinalização e Fiscalização de Trânsito;45;R$ 1.000,00;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Segurança Pública; Sinalização e Fiscalização de Trânsito;46;R$ 311.711,00;R$ 311.711,00;R$ 128.380,50;R$ 128.380,50;R$ 128.380,50
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Segurança Pública; Sinalização e Fiscalização de Trânsito;47;R$ 287.446,00;R$ 287.446,00;R$ 20.675,82;R$ 20.675,82;R$ 20.675,82
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Segurança Pública; Sinalização e Fiscalização de Trânsito;48;R$ 287.446,00;R$ 287.446,00;R$ 16.296,32;R$ 16.296,32;R$ 16.126,32
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Segurança Pública; Sinalização e Fiscalização de Trânsito;49;R$ 1.000,00;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Segurança Pública; Sinalização e Fiscalização de Trânsito;50;R$ 1.000,00;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; Eventos Culturais;151;R$ 2.500,00;R$ 2.500,00;R$ 1.179,00;R$ 1.179,00;R$ 1.179,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Construção de Equipamentos Poliesportivos;152;R$ 200.000,00;R$ 200.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Construção de Equipamentos Poliesportivos;153;R$ 12.000,00;R$ 12.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Construção de Equipamentos Poliesportivos;154;R$ 5.000,00;R$ 5.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Promoção do Esporte Amador;155;R$ 20.000,00;R$ 35.000,00;R$ 32.289,20;R$ 32.289,20;R$ 29.813,72
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Promoção do Esporte Amador;156;R$ 1.000,00;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Promoção do Esporte Amador;157;R$ 300.000,00;R$ 285.000,00;R$ 282.515,35;R$ 282.515,35;R$ 250.025,63
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Construção de Praças de Lazer;158;R$ 100.000,00;R$ 100.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Construção de Praças de Lazer;159;R$ 5.000,00;R$ 5.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; FUNDO MUNICIPAL DE CULTURA;160;R$ 5.000,00;R$ 5.000,00;R$ 5.000,00;R$ 5.000,00;R$ 5.000,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; FUNDO MUNICIPAL DE CULTURA;161;R$ 50.000,00;R$ 50.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; FUNDO MUNICIPAL DE CULTURA;162;R$ 150.000,00;R$ 150.000,00;R$ 121.156,29;R$ 121.156,29;R$ 121.105,29
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; FUNDO MUNICIPAL DE CULTURA;163;R$ 20.000,00;R$ 20.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Reserva de Contingência; Reserva de Contingência; Reserva de Contingência;164;R$ 16.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Serviços de Convivência e Fortalecimento de Vínculos;165;R$ 0,00;R$ 82.814,85;R$ 22.115,65;R$ 22.115,65;R$ 21.778,65
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;166;R$ 0,00;R$ 58.043,77;R$ 14.351,52;R$ 14.351,52;R$ 14.264,82
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;167;R$ 0,00;R$ 27.862,39;R$ 4.534,83;R$ 4.534,83;R$ 4.534,83
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Geral; Administração; Manutenção da Secretaria de Administração e Finanças;168;R$ 0,00;R$ 10.775,00;R$ 10.040,00;R$ 10.040,00;R$ 10.040,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Pequeno Produtor Assistido; Agricultura; Aquisição de Equipamentos Agrícolas;169;R$ 0,00;R$ 663,37;R$ 663,37;R$ 663,37;R$ 663,37
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Ampl. e Reforma da Rede Física do Ensino Fundamental;170;R$ 0,00;R$ 62.501,04;R$ 62.501,04;R$ 62.501,04;R$ 62.501,04
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Ampl. e Reforma da Rede Física do Ensino Fundamental;171;R$ 0,00;R$ 50.000,00;R$ 40.765,31;R$ 40.765,31;R$ 40.765,31
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Segurança ao Alcance de Todos; Segurança Pública; Manutenção Corpo de Bombeiros;172;R$ 0,00;R$ 9.024,90;R$ 9.011,14;R$ 9.011,14;R$ 9.011,14
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Conservação de Estradas Municipais;173;R$ 0,00;R$ 30,73;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Conservação de Estradas Municipais;174;R$ 0,00;R$ 16.269,99;R$ 16.269,99;R$ 16.269,99;R$ 16.269,99
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Conservação de Estradas Municipais;175;R$ 0,00;R$ 449,20;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Segurança Pública; Sinalização e Fiscalização de Trânsito;176;R$ 0,00;R$ 4.171,21;R$ 41,80;R$ 41,80;R$ 41,80
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Segurança Pública; Sinalização e Fiscalização de Trânsito;177;R$ 0,00;R$ 182.749,01;R$ 70.574,81;R$ 70.574,81;R$ 69.538,81
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Serviços de Utilidade Pública; Urbanismo; Manutenção da Rede de Iluminação Pública;178;R$ 0,00;R$ 1.734,81;R$ 1.734,81;R$ 1.734,81;R$ 1.734,81
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Fundamental;179;R$ 0,00;R$ 4,17;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Programa de Alimentação Escolar;180;R$ 0,00;R$ 15.532,87;R$ 9.410,07;R$ 9.410,07;R$ 9.410,07
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Fundamental;181;R$ 0,00;R$ 2.891,42;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Fundamental;182;R$ 0,00;R$ 5.549,87;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Equipamento p/Escolas do Ensino Infantil;183;R$ 0,00;R$ 54.408,82;R$ 51.169,30;R$ 51.169,30;R$ 51.169,30
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;184;R$ 0,00;R$ 6.010,04;R$ 1.529,85;R$ 1.529,85;R$ 1.529,85
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;185;R$ 0,00;R$ 2.478,19;R$ 1.494,88;R$ 1.494,88;R$ 1.494,88
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;186;R$ 0,00;R$ 810,30;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;187;R$ 0,00;R$ 24,99;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Segurança Pública; Sinalização e Fiscalização de Trânsito;188;R$ 0,00;R$ 389.556,34;R$ 30.559,79;R$ 30.559,79;R$ 29.636,12
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;189;R$ 0,00;R$ 8.710,00;R$ 7.965,00;R$ 7.965,00;R$ 7.965,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Construção de Praças de Lazer;190;R$ 0,00;R$ 102.732,17;R$ 102.732,17;R$ 102.732,17;R$ 102.732,17
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Construção de Equipamentos Poliesportivos;191;R$ 0,00;R$ 35.783,25;R$ 35.783,25;R$ 35.783,25;R$ 35.783,25
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Geral; Administração; Manutenção da Secretaria de Administração e Finanças;192;R$ 0,00;R$ 559.956,50;R$ 504.226,77;R$ 504.226,77;R$ 504.226,77
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Financeira; Administração; Manutenção da Secretaria de Arrecadação Municipal;193;R$ 0,00;R$ 190.000,00;R$ 167.726,80;R$ 167.726,80;R$ 167.726,80
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Urbanismo; Conservação e Limpeza de Vias e Logradouros Públicos;194;R$ 0,00;R$ 200.000,00;R$ 177.444,63;R$ 177.444,63;R$ 177.444,63
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Estradas Municipais; Transporte; Conservação de Estradas Municipais;195;R$ 0,00;R$ 310.000,00;R$ 280.424,93;R$ 280.424,93;R$ 280.424,93
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Benefícios Eventuais à Pessoas em Situação de Vulnerabilidade;196;R$ 0,00;R$ 19.507,32;R$ 18.797,10;R$ 18.797,10;R$ 17.597,10
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Geral; Administração; Manutenção da Secretaria de Administração e Finanças;197;R$ 0,00;R$ 13.578,58;R$ 13.578,58;R$ 13.578,58;R$ 13.578,58
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;198;R$ 0,00;R$ 5.260,00;R$ 5.034,21;R$ 5.034,21;R$ 5.034,21
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;199;R$ 0,00;R$ 10.800,00;R$ 1.747,45;R$ 1.747,45;R$ 1.747,45
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Segurança Pública; Sinalização e Fiscalização de Trânsito;200;R$ 0,00;R$ 175.400,00;R$ 175.400,00;R$ 175.400,00;R$ 175.400,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Urbanismo; Pavimentação de Vias Urbanas;51;R$ 2.500.000,00;R$ 3.800.000,00;R$ 1.751.356,25;R$ 1.696.665,98;R$ 792.599,29
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Urbanismo; Pavimentação de Vias Urbanas;52;R$ 400.000,00;R$ 400.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Urbanismo; Pavimentação de Vias Urbanas;53;R$ 500.000,00;R$ 1.451.000,00;R$ 1.429.831,85;R$ 547.673,23;R$ 540.178,19
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Urbanismo; Pavimentação de Vias Urbanas;54;R$ 6.250.000,00;R$ 6.250.000,00;R$ 5.526.891,01;R$ 5.526.891,01;R$ 5.237.536,10
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Urbanismo; Conservação e Limpeza de Vias e Logradouros Públicos;55;R$ 600.000,00;R$ 490.000,00;R$ 397.426,57;R$ 397.426,57;R$ 390.138,25
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Urbanismo; Conservação e Limpeza de Vias e Logradouros Públicos;56;R$ 400.000,00;R$ 510.000,00;R$ 387.247,31;R$ 387.247,31;R$ 387.247,31
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Urbanismo; Conservação e Limpeza de Vias e Logradouros Públicos;57;R$ 6.000,00;R$ 6.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Serviços de Utilidade Pública; Urbanismo; Manutenção da Rede de Iluminação Pública;58;R$ 1.656.843,00;R$ 1.386.843,00;R$ 1.256.112,98;R$ 1.256.112,98;R$ 1.247.557,98
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Serviços de Utilidade Pública; Urbanismo; Manutenção da Rede de Iluminação Pública;59;R$ 100.000,00;R$ 370.000,00;R$ 356.371,52;R$ 168.071,52;R$ 168.071,52
