rel_entidade;nome_do_programa;funcao;descricao_programa;c�digo_da_despesa;valor_or�ado_despesa;valor_atualizado_despesa;empenhado_atualizado_da_despesa;liquido_atualizado_da_despesa;valor_pago_atualizado_despesa
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Gaivota Turismo; Comércio e Serviços; Promoção e Manutenção de Atividades Turísticas;133;R$ 150.000,00;R$ 300.500,00;R$ 299.016,37;R$ 299.016,37;R$ 289.809,71
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Gaivota Turismo; Comércio e Serviços; Promoção e Manutenção de Atividades Turísticas;134;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; Manutenção das Atividades Culturais;135;R$ 145.000,00;R$ 145.000,00;R$ 9.346,42;R$ 9.346,42;R$ 9.346,42
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; Manutenção das Atividades Culturais;136;R$ 20.000,00;R$ 21.000,00;R$ 20.826,20;R$ 20.826,20;R$ 19.686,30
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; Manutenção das Atividades Culturais;137;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; Eventos Culturais;138;R$ 10.000,00;R$ 10.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; Eventos Culturais;139;R$ 80.000,00;R$ 82.000,00;R$ 81.855,79;R$ 81.855,79;R$ 80.219,16
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Cultura Para Todos; Cultura; Eventos Culturais;140;R$ 2.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Construção de Equipamentos Poliesportivos;141;R$ 200.000,00;R$ 200.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Construção de Equipamentos Poliesportivos;142;R$ 5.000,00;R$ 249.973,83;R$ 237.025,46;R$ 237.025,46;R$ 237.025,46
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Promoção do Esporte Amador;143;R$ 5.500,00;R$ 10.000,00;R$ 10.000,00;R$ 10.000,00;R$ 10.000,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Promoção do Esporte Amador;144;R$ 150.000,00;R$ 227.000,00;R$ 225.138,35;R$ 225.138,35;R$ 222.710,87
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Construção de Praças de Lazer;145;R$ 50.000,00;R$ 50.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Construção de Praças de Lazer;146;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
