data;numero_empenho;rel_orgao;detalhamento_do_elemento;descricao;valor_empenhado;valor_liquido;valor_pago
 27/02/2025;821; SECRETARIA DE EDUCAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 87.337,74;R$ 87.337,74;R$ 87.337,74
 27/02/2025;837; SECRETARIA DE ARRECADAÇÃO MUNICIPAL; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 2.958,69;R$ 2.958,69;R$ 2.958,69
 27/02/2025;822; SECRETARIA DE EDUCAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 67.419,22;R$ 67.419,22;R$ 67.419,22
 27/02/2025;824; SECRETARIA DE EDUCAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 15.565,43;R$ 15.565,43;R$ 15.565,43
 27/02/2025;834; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 21.131,86;R$ 21.131,86;R$ 21.131,86
 27/02/2025;823; SECRETARIA DE EDUCAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 19.688,50;R$ 19.688,50;R$ 19.688,50
 27/02/2025;833; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 1.797,03;R$ 1.797,03;R$ 1.797,03
 27/02/2025;838; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 3.339,91;R$ 3.339,91;R$ 3.339,91
 27/02/2025;832; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 803,00;R$ 803,00;R$ 803,00
 27/02/2025;841; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 833,87;R$ 833,87;R$ 833,87
