rel_entidade;numero_do_processo;ano_processo;numero_da_licitacao;ano_da_licitacao;objeto;modalide;data_de_abertura;data_de_publicacao;tipo_de_objeto;forma_de_julgamento;data_da_homologacao;situacao;data_de_anulacao;data_de_criacao;data_do_julgamento;data_da_revogacao;forma_de_contratacao;valor_estimado;valor_homologado
 PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA;30;2026;17;2026; A PRESENTE CHAMADA PÚBLICA TEM POR OBJETIVO A AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DIRETAMENTE DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL OU DE SUAS ORGANIZAÇÕES, DESTINADOS À ALIMENTAÇÃO ESCOLAR NO MUNICÍPIO DE BALNEARIO GAIVOTA/SC, PARA O ANO LETIVO DE 2026, CONFORME A LEI FEDERAL Nº 11.947/2009, A RESOLUÇÃO CD/FNDE Nº 06/2020 E SUAS ALTERAÇÕES, CONFORME ESPECIFICAÇÕES DO ANEXO I.; Inexigibilidade de licitação; -; 19/03/2026; Aquisição de bens; SEM COMPETITIVIDADE - Qtd. rateada; 28/05/2026; HOMOLOGADO; -; 17/03/2026;  - ; -; Chamada pública / credenciamento;R$ 420.498,00;R$ 420.498,00
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;19;2026;16;2026; CONTRATAÇÃO DE AGÊNCIA DE VIAGEM PARA AQUISIÇÃO DE PASSAGENS AÉREAS – IDA E VOLTA – DE  FLORIANÓPOLIS/SC, BRASÍLIA DF PARA  15 PARTICIPANTES DA XXVII MARCHA A BRASÍLIA  REALIZADO PELA CNM – CONFEDERAÇÃO NACIONAL DE  MUNICÍPIOS , COM SAÍDA DE FLORIANOPOLIS NO DIA 17 DE MAIO E RETORNO DE BRASÍLIA  NO DIA  21 DE MAIO E 2026.; Dispensa de licitação; -; -; Prestação de serviços; MENOR PREÇO GLOBAL; 11/03/2026; HOMOLOGADO; -; 11/03/2026;  - ; -; Contratação direta;R$ 26.307,87;R$ 26.307,87
 PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA;32;2026;16;2026; O OBJETO DA PRESENTE DISPENSA DE LICITAÇÃO CONSISTE NA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO CORRETIVA PONTUAL NO SISTEMA DE ILUMINAÇÃO PÚBLICA DO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC,, CONFORME AS ESPECIFICAÇÕES MÍNIMAS CONSTANTES NO EDITAL, TERMO DE REFERÊNCIA E DEMAIS ANEXOS.; Dispensa de licitação; -; 20/03/2026; Prestação de serviços; MENOR PREÇO GLOBAL; -; DESERTO; -; 20/03/2026;  - ; -; Contratação direta;R$ 65.296,70; -
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;15;2026;15;2026; PELA DESPESA EMPENHA REF, AQUISIÇÃO DE MOVEIS DE ESCRITÓRIO; Dispensa de licitação; -; -; Aquisição de bens; MENOR PREÇO GLOBAL; 04/03/2026; HOMOLOGADO; -; 27/02/2026;  - ; -; Contratação direta;R$ 6.561,00;R$ 4.996,00
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;14;2026;14;2026; PELA AQUISIÇÃO DE UM APARELHO SMARTPHONE SASUNG GALAXY S25 ULTRA; Dispensa de licitação; -; -; Aquisição de bens; MENOR PREÇO; 13/02/2026; HOMOLOGADO; -; 13/02/2026;  - ; -; Contratação direta;R$ 7.433,36;R$ 6.899,00
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;13;2026;13;2026; PELA DESPESA EMPENHA REF, AQUISIÇÃO DE MOVEIS DE ESCRITÓRIO E COZINHA; Dispensa de licitação; -; -; Aquisição de bens; MENOR PREÇO GLOBAL; 13/02/2026; HOMOLOGADO; -; 13/02/2026;  - ; -; Contratação direta;R$ 3.112,00;R$ 2.518,00
 PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA;22;2026;12;2026; O OBJETO DA PRESENTE DISPENSA DE LICITAÇÃO CONSISTE NA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE CALHAS NAS UNIDADES ESCOLARES DA REDE MUNICIPAL DE ENSINO DO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC, INCLUINDO LIMPEZA, DESOBSTRUÇÃO, REPAROS E SUBSTITUIÇÃO DE COMPONENTES DANIFICADOS, BEM COMO O FORNECIMENTO E INSTALAÇÃO DE CALHA TIPO PINGADEIRA, COM FORNECIMENTO DE TODOS OS MATERIAIS, EQUIPAMENTOS E MÃO DE OBRA NECESSÁRIOS À ADEQUADA EXECUÇÃO; Dispensa de licitação; -; 02/03/2026; Prestação de serviços; MENOR PREÇO; 02/03/2026; HOMOLOGADO; -; 18/02/2026;  - ; -; Contratação direta;R$ 31.900,00;R$ 31.900,00
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;12;2026;12;2026; PELA DESPESA EMPENHA REF,  Contratação de empresa para a prestação dos serviços de radiodifusão em frequência modulada (FM), para inserções diárias de 30 segundos, com conteúdos informados pela casa legislativa; Dispensa de licitação; -; -; Prestação de serviços; MENOR PREÇO; 13/02/2026; HOMOLOGADO; -; 13/02/2026;  - ; -; Contratação direta;R$ 20.100,00;R$ 20.100,00
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;11;2026;11;2026;" Aquisição de combustível (GASOLINA-COMUM) para abastecimento do veículo oficial da Câmara de Vereadores de Balneário Gaivota, obedecendo integralmente às condições, quantitativos e especificações constantes
no Termo de Referência"; Dispensa de licitação; -; -; Prestação de serviços; MENOR PREÇO; 05/02/2026; HOMOLOGADO; -; 05/02/2026;  - ; -; Contratação direta;R$ 17.091,00;R$ 16.821,00
 PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA;20;2026;11;2026; O OBJETO DA PRESENTE DISPENSA DE LICITAÇÃO CONSISTE NA CONTRATAÇÃO DE PROFISSIONAL MÉDICO VETERINÁRIO, PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS JUNTO AO SERVIÇO DE INSPEÇÃO MUNICIPAL , VINCULADO AO DEPARTAMENTO DE AGRICULTURA DO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC.; Dispensa de licitação; -; 11/02/2026; Prestação de serviços; MENOR PREÇO GLOBAL; 18/02/2026; HOMOLOGADO; -; 10/02/2026;  - ; -; Contratação direta;R$ 54.793,32;R$ 38.400,00
